fund_token,award_year_token,sel_set_year_token,fund_family,fund_ledger_number,fund_list_sequence,fund_long_name,fund_short_name,fund_desc,fund_type,fund_source,fund_gov_id,fund_lock,scan_group_1,fund_min,fund_max,fund_balance,fund_number_award,fund_amt_award,fund_number_accept,fund_amt_accept,fund_amt_paid,fund_number_paid,fund_available_dollars,fund_rounding,fund_distribution,fund_disbursement,fund_alternate,fund_real_dollars,fund_tfc_replacement,fund_need_based,fund_equity_offset,net_proceeds_percent,message_token,non_pars_flag,scan_group_2,direct_loan,dflt_ln_interest_rate,dflt_ln_deferment_request,dflt_ln_capitalize_interest,dflt_ln_eft_authorization,dflt_ln_borrower_signature,dflt_ln_first_time_borrower,ext_fund_code,fund_grant_subtype,fund_loan_subtype,alternative_loan,alp_loan_program_id,alp_lender,alp_guarantor,loan_type,anticipated,fund_external_name,fund_family_2,renewable,renew_increment_type,renew_increment_amt,renew_default_status,bypass_disb_rules,web_description,include_in_need_based,hold_release_flag,direct_loan_disbursement_option,fund_reduce_netpartner,web_display,alt_fund_satisfactory_progress,fin_aid_disclosure_category,report_as_additional_unsub,gainful_employment_reporting,bypass_ext_disb_tracking_status,unreconciled_changes,reconciliation_date,estimated_award,disburse_estimated,cod_reporting_if_estimated,default_award_status,web_display_awards_page,web_display_accept_awards_page,active_fund,bypass_fed_pack_requirements,fund_job_subtype,date_message_assigned,disb_to_date_option,cfp_category,bypass_coa,include_in_CDS,include_in_IPEDS,include_in_LCME,origination_fee,fvt_gv_fund_rep_type,File_Name,Snapshot_Date
26,1999,null,null,null,105,Citizen's Scholarship,CITIZENS,Citizen's Scholarship,G,O,null,null,null,500,500,1000,1,500,1,500,0,0,500,null,null,Y,null,1000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
27,1999,null,null,null,null,CSX Scholarship (UNCF),CSX,CSX Scholarship (UNCF),G,O,null,null,null,null,null,0,0,0,0,0,0,0,0,null,null,Y,null,0,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
28,1999,233,null,null,null,College Workstudy,CWSP,College Workstudy Program,J,S,null,null,null,750,1500,10000,1,1500,1,1500,0,0,8500,0,1,N,null,10000,null,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,N,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
29,1999,null,null,null,null,Dean's Scholarship,DEANS,Dean's Scholarship,G,I,null,null,null,null,null,0,0,0,0,0,0,0,0,null,null,Y,null,0,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
30,1999,null,null,null,null,Division of Education,DIVED,Division of Education Scholarship,G,I,null,null,null,null,null,0,0,0,0,0,0,0,0,null,null,Y,null,0,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
31,1999,null,null,null,75,UNCF R R Donnelly,DONNELLY,UNCF R R Donnelly Scholarship,G,O,null,null,null,500,3750,25000,1,7500,1,7500,7500,1,17500,null,null,Y,null,25000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
32,1999,null,null,null,311,Educational,EDUC,Educational Scholarship,G,I,null,null,null,500,1000,50000,7,5400,7,5400,2150,3,44600,null,null,Y,null,50000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
33,1999,233,null,null,225,EPA Environmental Scholarship,EPA SCH,EPA Environmental Scholarship,G,O,null,null,null,10000,10000,500000,3,15176,3,15176,5176,1,484824,0,1,Y,null,500000,N,null,N,null,2,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
34,1999,null,null,null,102,Ford Motor Co Scholarship,FORD,Ford Motor Co. Scholarship,G,O,null,null,null,500,1500,1500,2,1500,2,1500,500,1,0,0,1,Y,null,1500,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
35,1999,null,null,null,101,United Methodist Church Foundation,FOUNDATION,United Methodist Church Foundation Scholarship,G,O,null,null,null,500,1000,10000,4,4000,4,4000,4000,4,6000,null,null,Y,null,10000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
