"Term","AwardYear","Sport","ScholarshipStatus","TotalStudents","AvgCareerGPA","AvgHoursEarned","AvgHoursAttempted","Students_GPA_Above_3_5","Students_GPA_3_0_to_3_5","Students_GPA_2_5_to_3_0","Students_GPA_Below_2_5"
"Spring 2020 Online","2019","Baseball","No Scholarship","19","0.5635","15.5","19.875","0","0","0","7"
"Spring 2020 Online","2019","Basketball","No Scholarship","103","0.849957142857143","28.4285714285714","30.4761904761905","0","2","3","15"
"Spring 2020 Online","2019","Track & Field","No Scholarship","38","1.34715","45","47.7","0","2","2","6"
"Spring 2020 Online","2019","Volleyball","No Scholarship","3","","","","0","0","0","0"
"Spring 2020 Online Part-Time","2019","Baseball","No Scholarship","19","0.5635","15.5","19.875","0","0","0","7"
"Spring 2020 Online Part-Time","2019","Basketball","No Scholarship","103","0.849957142857143","28.4285714285714","30.4761904761905","0","2","3","15"
"Spring 2020 Online Part-Time","2019","Track & Field","No Scholarship","38","1.34715","45","47.7","0","2","2","6"
"Spring 2020 Online Part-Time","2019","Volleyball","No Scholarship","3","","","","0","0","0","0"
"Summer 2020","2019","Baseball","No Scholarship","3","","","","0","0","0","0"
"Summer 2020","2019","Basketball","No Scholarship","5","1.527975","36.5","37.25","0","1","0","1"
"Summer 2020","2019","Track & Field","No Scholarship","4","0.24864","5","7.4","0","0","0","3"
"Summer 2020 Online","2019","Baseball","No Scholarship","3","","","","0","0","0","0"
"Summer 2020 Online","2019","Basketball","No Scholarship","4","0","0","0","0","0","0","1"
"Summer 2020 Online","2019","Track & Field","No Scholarship","3","0","0","0","0","0","0","2"
"Fall 2018","2018","Baseball","No Scholarship","17","0.87305","31","45","0","0","1","7"
"Fall 2018","2018","Basketball","No Scholarship","46","0.923295454545455","13.9545454545455","21.5681818181818","2","3","0","26"
"Fall 2018","2018","Track & Field","No Scholarship","32","1.41069230769231","14.3076923076923","24.3846153846154","2","0","1","8"
"FALL SAP","2018","Baseball","No Scholarship","40","1.50771212121212","49.3636363636364","57.2121212121212","0","5","2","22"
"FALL SAP","2018","Basketball","No Scholarship","78","1.03300684931507","18.5205479452055","26.3150684931507","4","5","1","46"
"FALL SAP","2018","Track & Field","No Scholarship","57","1.3317275862069","20.2413793103448","28.1724137931034","4","0","1","21"
"Fall SC 2018","2018","Baseball","No Scholarship","30","1.340895","40","52.55","0","3","1","16"
"Fall SC 2018","2018","Basketball","No Scholarship","62","1.03496315789474","18.4210526315789","24.7017543859649","3","4","0","36"
"Fall SC 2018","2018","Track & Field","No Scholarship","45","1.5643652173913","24.6086956521739","32.2608695652174","4","0","1","15"
"Spring 2019","2018","Baseball","No Scholarship","25","1.47053333333333","22.3333333333333","29.1666666666667","0","1","0","5"
"Spring 2019","2018","Basketball","No Scholarship","55","1.36533043478261","27.8260869565217","34.9565217391304","1","2","0","16"
"Spring 2019","2018","Track & Field","No Scholarship","68","1.509364","30.44","33.36","3","2","4","15"
"Spring SC 2019","2018","Baseball","No Scholarship","27","1.47053333333333","22.3333333333333","29.1666666666667","0","1","0","5"
"Spring SC 2019","2018","Basketball","No Scholarship","57","1.256104","25.6","32.16","1","2","0","17"
"Spring SC 2019","2018","Track & Field","No Scholarship","70","1.509364","30.44","33.36","3","2","4","15"
"Summer 18 Header","2018","Baseball","No Scholarship","18","1.992505","67.8","73.75","0","5","1","10"
"Summer 18 Header","2018","Basketball","No Scholarship","23","1.2399380952381","27.6190476190476","34.9047619047619","2","2","1","12"
"Summer 18 Header","2018","Track & Field","No Scholarship","18","1.23819","27","31.1","1","0","0","8"
"Summer 2019","2018","Baseball","No Scholarship","12","2.0776625","54.625","64.25","1","0","2","5"
"Summer 2019","2018","Basketball","No Scholarship","23","1.39235625","27.5","35.25","1","1","2","10"
"Summer 2019","2018","Track & Field","No Scholarship","21","1.54542307692308","26.2307692307692","36.6923076923077","1","0","1","10"
"Summer SC 2019","2018","Baseball","No Scholarship","19","1.90139090909091","43","50.4545454545455","1","0","3","7"
"Summer SC 2019","2018","Basketball","No Scholarship","35","1.61909523809524","38.8719047619048","45.0623809523809","2","1","4","12"
"Summer SC 2019","2018","Track & Field","No Scholarship","32","1.538175","25","34.25","1","0","1","13"
"Fall 2017","2017","Baseball","No Scholarship","27","0.944653333333333","27.1333333333333","36.3333333333333","0","0","2","12"
"Fall 2017","2017","Basketball","No Scholarship","74","1.05496170212766","18.8727659574468","26.3834042553191","3","2","5","31"
"Fall 2017","2017","Basketball","On Scholarship","4","2.5214","74.5","81.25","0","1","1","2"
"Fall 2017","2017","Track & Field","No Scholarship","59","1.24874333333333","25.734","30.4006666666667","2","2","4","20"
"Spring 2018","2017","Baseball","No Scholarship","12","1.4221","45","60.3333333333333","0","1","0","2"
"Spring 2018","2017","Basketball","No Scholarship","29","2.26577142857143","66.5714285714286","78.8571428571429","0","2","1","4"
"Spring 2018","2017","Track & Field","No Scholarship","33","1.78332","50.4","59.3","1","2","1","6"
"Summer 2018","2017","Baseball","No Scholarship","21","2.2986125","75.4583333333333","78.0416666666667","1","7","1","7"
"Summer 2018","2017","Basketball","No Scholarship","40","1.35030571428571","28.0857142857143","35.2285714285714","4","3","4","15"
"Summer 2018","2017","Track & Field","No Scholarship","40","1.81554117647059","32.8823529411765","38.1764705882353","3","0","3","9"
"Summer 2018","2017","Volleyball","No Scholarship","1","0","0","0","0","0","0","1"
